fecha,etiquetaOriginal,ventasArs,recTransferenciaArs,sinRespaldoArs,facAContadoArs,facBContadoArs,fcCuentaCorrienteArs,ffArs,facturadoArs,comprasArs
2026-06-04,Jeudi 4,681200,332600,0,0,348600,8692082,0,9040682,0
2026-06-03,Mercredi 3,1189450,81000,582450,526000,0,0,0,526000,0
2026-06-02,Mardi 2,1047900,0,525400,82000,440500,1028400,0,1550900,236813
2026-06-01,Lundi 1,1497000,0,1251500,63500,182000,0,0,245500,790000
2026-05-30,Samedi 30,535000,0,189000,160000,186000,661000,0,1007000,0
2026-05-29,Vendredi 29,1226635,0,369300,486735,370600,0,0,857335,0
2026-05-28,Jeudi 28,498500,0,322500,176000,0,66429,0,242429,0
2026-05-27,Mercredi 27,1353700,0,284700,1056000,13000,0,0,1069000,0
2026-05-26,Mardi 26,2301700,1455000,417200,351500,78000,0,0,429500,0
2026-05-23,Samedi 23,490000,0,280000,30000,180000,0,0,0,0
2026-05-22,Vendredi 22,843100,0,228000,428000,187100,0,0,0,0
2026-05-21,Jeudi 21,540000,0,354000,0,186000,0,0,0,0
2026-05-20,Mercredi 20,823000,0,231000,35000,557000,388800,0,980800,0
2026-05-19,Mardi 19,1107800,0,397400,220000,490400,0,0,710400,0
2026-05-18,Lundi 18,926300,0,681500,0,244800,0,0,244800,0
2026-05-16,Samedi 16,648000,0,298000,28000,322000,0,0,350000,0
2026-05-15,Vendredi 15,914900,0,652300,22000,240600,0,0,262600,0
2026-05-14,Jeudi 14,1340200,500000,296500,164500,379200,389000,0,932700,0
2026-05-13,Mercredi 13,441100,0,288100,138000,15000,0,0,153000,0
2026-05-12,Mardi 12,2433900,426300,377600,791900,838100,0,0,1630000,0
2026-05-11,Lundi 11,2659600,0,232800,740900,1685900,0,0,2426800,0
2026-05-09,Samedi 9,917500,0,480500,20000,417000,0,0,437000,0
2026-05-08,Vendredi 8,969300,0,360500,240000,368800,0,0,0,300000
2026-05-07,Jeudi 7,1895500,0,857000,67000,971500,0,0,1038500,187235
2026-05-06,Mercredi 6,1111500,0,658300,48000,405200,0,0,453200,2500000
2026-05-05,Mardi 5,971500,0,376500,223000,372000,426300,0,1021300,1416183
2026-05-04,Lundi 4,2223400,0,723400,401000,1099000,0,0,1500000,496584
2026-05-02,Samedi  2,1203000,0,1203000,0,0,0,0,0,671563
2026-05-01,Vendredi 1,0,0,0,0,0,0,0,0,800052
2026-04-30,Jueves 30,1610873,683000,683000,244873,0,0,0,244873,0
2026-04-29,Miércoles 29,1812750,0,792700,1004050,16000,0,0,1020050,0
2026-04-28,Martes 28,787300,0,752300,0,35000,0,0,35000,0
2026-04-27,Lunes 27,1914801,0,1073000,789801,52000,0,0,841801,0
2026-04-25,Sábado 25,823200,0,389200,402000,32000,0,0,434000,0
2026-04-24,Viernes 24,2548000,0,1621000,927000,0,0,0,927000,0
2026-04-23,Jueves 23,1846500,0,550500,1256000,40000,0,0,0,0
